section_id,state_name,climate_zone,gps_family,subgrade_bin,E_subgrade,is_baseline,pavement_type,traffic_source,annual_ESAL_BZZ100,total_ESAL_BZZ100,traffic_growth_rate,seed,n_steps,total_reward,mean_reward,final_dsr,final_scr_running,n_compliant,compliance_rate_in_episode,final_lcc_npv_usd_m2,final_C_const_usd_m2,final_C_const_cny_m2,final_n_maint_events,delivered_dsr,delivered_step,delivered_C_const_cny_m2,delivered_C_const_usd_m2,delivered_lcc_npv_usd_m2,delivered_margins,llm_enabled,alpha_initial,alpha_fallback,wall_clock_sec,status
04_1065,Arizona,Dry-NoFreeze,GPS-2,Medium,91.29293620906081,False,semi_rigid,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,583000.0,,0.02,1,20,0.6439866814873376,0.032199334074366884,1.0,1.0,21,1.0,80.42,67.38281296034513,485.15625331448496,,1.0,2,379.89614884830894,52.76335400670958,65.8,"{""B1_asphalt_fatigue"": 86.6447952551405, ""B2_semi_rigid_fatigue"": 19.572527212828014, ""B3_ac_permanent_deformation"": 4.850133625224148, ""B4_subgrade_strain"": 4.79539057364531}",False,0.0,0.0,33.1619508266449,ok
04_1065,Arizona,Dry-NoFreeze,GPS-2,Medium,91.29293620906081,False,semi_rigid,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,583000.0,,0.02,2,20,0.6439866814873376,0.032199334074366884,1.0,1.0,21,1.0,80.42,67.38281296034513,485.15625331448496,,1.0,2,379.89614884830894,52.76335400670958,65.8,"{""B1_asphalt_fatigue"": 86.6447952551405, ""B2_semi_rigid_fatigue"": 19.572527212828014, ""B3_ac_permanent_deformation"": 4.850133625224148, ""B4_subgrade_strain"": 4.79539057364531}",False,0.0,0.0,33.06621837615967,ok
06_2004,California,Dry-NoFreeze,GPS-2,Stiff,112.4859392575928,False,semi_rigid,aashto1993_summary:KESAL_fallback_no_extracted_TRF_ESAL,120000.0,,0.02,0,20,-1.7805417795376393,-0.08902708897688197,1.0,1.0,21,1.0,80.26,67.21764749624785,483.9670619729845,,1.0,2,381.048654454603,52.923424229805974,65.96,"{""B1_asphalt_fatigue"": 354.33990525461627, ""B2_semi_rigid_fatigue"": 83.79614172607448, ""B3_ac_permanent_deformation"": 5.3751732355096555, ""B4_subgrade_strain"": 7.104915188310219}",False,0.0,0.0,33.27107000350952,ok
06_2004,California,Dry-NoFreeze,GPS-2,Stiff,112.4859392575928,False,semi_rigid,aashto1993_summary:KESAL_fallback_no_extracted_TRF_ESAL,120000.0,,0.02,1,20,-1.7805417795376393,-0.08902708897688197,1.0,1.0,21,1.0,80.26,67.21764749624785,483.9670619729845,,1.0,2,381.048654454603,52.923424229805974,65.96,"{""B1_asphalt_fatigue"": 354.33990525461627, ""B2_semi_rigid_fatigue"": 83.79614172607448, ""B3_ac_permanent_deformation"": 5.3751732355096555, ""B4_subgrade_strain"": 7.104915188310219}",False,0.0,0.0,33.79996109008789,ok
06_2004,California,Dry-NoFreeze,GPS-2,Stiff,112.4859392575928,False,semi_rigid,aashto1993_summary:KESAL_fallback_no_extracted_TRF_ESAL,120000.0,,0.02,2,20,-1.7805417795376393,-0.08902708897688197,1.0,1.0,21,1.0,80.26,67.21764749624785,483.9670619729845,,1.0,2,381.048654454603,52.923424229805974,65.96,"{""B1_asphalt_fatigue"": 354.33990525461627, ""B2_semi_rigid_fatigue"": 83.79614172607448, ""B3_ac_permanent_deformation"": 5.3751732355096555, ""B4_subgrade_strain"": 7.104915188310219}",False,0.0,0.0,40.64117383956909,ok
27_1085,Minnesota,Wet-Freeze,GPS-1,Medium,86.2905835400712,False,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,10000.0,,0.02,0,20,-17.964475519588497,-0.8982237759794248,1.0,1.0,21,1.0,44.95,31.9132407594698,229.77533346818257,,1.0,6,229.77533346818257,31.9132407594698,44.95,"{""B1_asphalt_fatigue"": 119.13495154456683, ""B3_ac_permanent_deformation"": 31.475975298082776, ""B4_subgrade_strain"": 5.764570272046149}",False,0.0,0.0,17.205153465270996,ok
27_1085,Minnesota,Wet-Freeze,GPS-1,Medium,86.2905835400712,False,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,10000.0,,0.02,1,20,-17.964475519588497,-0.8982237759794248,1.0,1.0,21,1.0,44.95,31.9132407594698,229.77533346818257,,1.0,6,229.77533346818257,31.9132407594698,44.95,"{""B1_asphalt_fatigue"": 119.13495154456683, ""B3_ac_permanent_deformation"": 31.475975298082776, ""B4_subgrade_strain"": 5.764570272046149}",False,0.0,0.0,16.907673835754395,ok
27_1085,Minnesota,Wet-Freeze,GPS-1,Medium,86.2905835400712,False,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,10000.0,,0.02,2,20,-17.964475519588497,-0.8982237759794248,1.0,1.0,21,1.0,44.95,31.9132407594698,229.77533346818257,,1.0,6,229.77533346818257,31.9132407594698,44.95,"{""B1_asphalt_fatigue"": 119.13495154456683, ""B3_ac_permanent_deformation"": 31.475975298082776, ""B4_subgrade_strain"": 5.764570272046149}",False,0.0,0.0,16.864497661590576,ok
27_2023,Minnesota,Wet-Freeze,GPS-2,Stiff,131.2335958005249,False,semi_rigid,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,574000.0,,0.02,0,20,0.585302312798099,0.02926511563990495,1.0,1.0,21,1.0,80.59,67.54694604549742,486.33801152758144,,1.0,2,380.04828489282704,52.78448401289264,65.83,"{""B1_asphalt_fatigue"": 88.05861750840262, ""B2_semi_rigid_fatigue"": 22.300009911108532, ""B3_ac_permanent_deformation"": 4.962255596084354, ""B4_subgrade_strain"": 5.798347238143425}",False,0.0,0.0,33.74420380592346,ok
27_2023,Minnesota,Wet-Freeze,GPS-2,Stiff,131.2335958005249,False,semi_rigid,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,574000.0,,0.02,1,20,0.585302312798099,0.02926511563990495,1.0,1.0,21,1.0,80.59,67.54694604549742,486.33801152758144,,1.0,2,380.04828489282704,52.78448401289264,65.83,"{""B1_asphalt_fatigue"": 88.05861750840262, ""B2_semi_rigid_fatigue"": 22.300009911108532, ""B3_ac_permanent_deformation"": 4.962255596084354, ""B4_subgrade_strain"": 5.798347238143425}",False,0.0,0.0,33.35815119743347,ok
27_2023,Minnesota,Wet-Freeze,GPS-2,Stiff,131.2335958005249,False,semi_rigid,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,574000.0,,0.02,2,20,0.585302312798099,0.02926511563990495,1.0,1.0,21,1.0,80.59,67.54694604549742,486.33801152758144,,1.0,2,380.04828489282704,52.78448401289264,65.83,"{""B1_asphalt_fatigue"": 88.05861750840262, ""B2_semi_rigid_fatigue"": 22.300009911108532, ""B3_ac_permanent_deformation"": 4.962255596084354, ""B4_subgrade_strain"": 5.798347238143425}",False,0.0,0.0,33.0723762512207,ok
12_1060,Florida,Wet-NoFreeze,GPS-1,Stiff,286.3278453829635,False,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,81000.0,,0.02,0,20,-17.625652554809918,-0.8812826277404959,1.0,1.0,21,1.0,45.73,32.687106408701716,235.34716614265238,,1.0,6,235.34716614265238,32.687106408701716,45.73,"{""B1_asphalt_fatigue"": 14.282673520086924, ""B3_ac_permanent_deformation"": 3.6090576715392295, ""B4_subgrade_strain"": 6.252816073940175}",False,0.0,0.0,16.650137424468994,ok
12_1060,Florida,Wet-NoFreeze,GPS-1,Stiff,286.3278453829635,False,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,81000.0,,0.02,1,20,-17.625652554809918,-0.8812826277404959,1.0,1.0,21,1.0,45.73,32.687106408701716,235.34716614265238,,1.0,6,235.34716614265238,32.687106408701716,45.73,"{""B1_asphalt_fatigue"": 14.282673520086924, ""B3_ac_permanent_deformation"": 3.6090576715392295, ""B4_subgrade_strain"": 6.252816073940175}",False,0.0,0.0,16.616487979888916,ok
12_1060,Florida,Wet-NoFreeze,GPS-1,Stiff,286.3278453829635,False,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,81000.0,,0.02,2,20,-17.625652554809918,-0.8812826277404959,1.0,1.0,21,1.0,45.73,32.687106408701716,235.34716614265238,,1.0,6,235.34716614265238,32.687106408701716,45.73,"{""B1_asphalt_fatigue"": 14.282673520086924, ""B3_ac_permanent_deformation"": 3.6090576715392295, ""B4_subgrade_strain"": 6.252816073940175}",False,0.0,0.0,16.697454690933228,ok
12_4097,Florida,Wet-NoFreeze,GPS-2,Stiff,286.3278453829635,False,semi_rigid,aashto1993_summary:KESAL_fallback_no_extracted_TRF_ESAL,200000.0,,0.02,0,20,-1.2932719014807015,-0.06466359507403507,1.0,1.0,21,1.0,80.1,67.05583974868368,482.80204619052256,,1.0,2,380.8420266193949,52.894725919360404,65.94,"{""B1_asphalt_fatigue"": 174.14629474530483, ""B2_semi_rigid_fatigue"": 56.540397009536015, ""B3_ac_permanent_deformation"": 4.181206746317973, ""B4_subgrade_strain"": 10.158724767315197}",False,0.0,0.0,33.24518442153931,ok
12_4097,Florida,Wet-NoFreeze,GPS-2,Stiff,286.3278453829635,False,semi_rigid,aashto1993_summary:KESAL_fallback_no_extracted_TRF_ESAL,200000.0,,0.02,1,20,-1.2932719014807015,-0.06466359507403507,1.0,1.0,21,1.0,80.1,67.05583974868368,482.80204619052256,,1.0,2,380.8420266193949,52.894725919360404,65.94,"{""B1_asphalt_fatigue"": 174.14629474530483, ""B2_semi_rigid_fatigue"": 56.540397009536015, ""B3_ac_permanent_deformation"": 4.181206746317973, ""B4_subgrade_strain"": 10.158724767315197}",False,0.0,0.0,33.25433349609375,ok
12_4097,Florida,Wet-NoFreeze,GPS-2,Stiff,286.3278453829635,False,semi_rigid,aashto1993_summary:KESAL_fallback_no_extracted_TRF_ESAL,200000.0,,0.02,2,20,-1.2932719014807015,-0.06466359507403507,1.0,1.0,21,1.0,80.1,67.05583974868368,482.80204619052256,,1.0,2,380.8420266193949,52.894725919360404,65.94,"{""B1_asphalt_fatigue"": 174.14629474530483, ""B2_semi_rigid_fatigue"": 56.540397009536015, ""B3_ac_permanent_deformation"": 4.181206746317973, ""B4_subgrade_strain"": 10.158724767315197}",False,0.0,0.0,33.30770206451416,ok
48_1109,Texas,Wet-NoFreeze,GPS-2,Medium,99.98750156230471,False,semi_rigid,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,81000.0,,0.02,0,20,-1.810269472857728,-0.0905134736428864,1.0,1.0,21,1.0,80.34,67.30169092302245,484.5721746457616,,1.0,2,381.1550772891586,52.9382051790498,65.98,"{""B1_asphalt_fatigue"": 525.2932439927317, ""B2_semi_rigid_fatigue"": 119.43140249469988, ""B3_ac_permanent_deformation"": 6.455770536244389, ""B4_subgrade_strain"": 7.270831724721774}",False,0.0,0.0,33.26567983627319,ok
48_1109,Texas,Wet-NoFreeze,GPS-2,Medium,99.98750156230471,False,semi_rigid,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,81000.0,,0.02,1,20,-1.810269472857728,-0.0905134736428864,1.0,1.0,21,1.0,80.34,67.30169092302245,484.5721746457616,,1.0,2,381.1550772891586,52.9382051790498,65.98,"{""B1_asphalt_fatigue"": 525.2932439927317, ""B2_semi_rigid_fatigue"": 119.43140249469988, ""B3_ac_permanent_deformation"": 6.455770536244389, ""B4_subgrade_strain"": 7.270831724721774}",False,0.0,0.0,32.99345421791077,ok
48_1109,Texas,Wet-NoFreeze,GPS-2,Medium,99.98750156230471,False,semi_rigid,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,81000.0,,0.02,2,20,-1.810269472857728,-0.0905134736428864,1.0,1.0,21,1.0,80.34,67.30169092302245,484.5721746457616,,1.0,2,381.1550772891586,52.9382051790498,65.98,"{""B1_asphalt_fatigue"": 525.2932439927317, ""B2_semi_rigid_fatigue"": 119.43140249469988, ""B3_ac_permanent_deformation"": 6.455770536244389, ""B4_subgrade_strain"": 7.270831724721774}",False,0.0,0.0,33.03317356109619,ok
48_1076,Texas,Dry-NoFreeze,GPS-1,Stiff,114.5311381531854,True,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,164000.0,,0.02,0,20,-13.10136953270479,-0.6550684766352395,1.0,1.0,21,1.0,48.08,35.0408987159885,252.2944707551172,,1.0,1,247.07629656254994,34.316152300354155,47.36,"{""B1_asphalt_fatigue"": 8.502728831842775, ""B3_ac_permanent_deformation"": 3.7545973542924034, ""B4_subgrade_strain"": 3.6467109870220145}",False,0.0,0.0,16.52971339225769,ok
48_1076,Texas,Dry-NoFreeze,GPS-1,Stiff,114.5311381531854,True,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,164000.0,,0.02,1,20,-13.10136953270479,-0.6550684766352395,1.0,1.0,21,1.0,48.08,35.0408987159885,252.2944707551172,,1.0,1,247.07629656254994,34.316152300354155,47.36,"{""B1_asphalt_fatigue"": 8.502728831842775, ""B3_ac_permanent_deformation"": 3.7545973542924034, ""B4_subgrade_strain"": 3.6467109870220145}",False,0.0,0.0,16.677307844161987,ok
48_1076,Texas,Dry-NoFreeze,GPS-1,Stiff,114.5311381531854,True,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,164000.0,,0.02,2,20,-13.10136953270479,-0.6550684766352395,1.0,1.0,21,1.0,48.08,35.0408987159885,252.2944707551172,,1.0,1,247.07629656254994,34.316152300354155,47.36,"{""B1_asphalt_fatigue"": 8.502728831842775, ""B3_ac_permanent_deformation"": 3.7545973542924034, ""B4_subgrade_strain"": 3.6467109870220145}",False,0.0,0.0,16.624643087387085,ok
48_0001,Texas,Wet-NoFreeze,GPS-1,Stiff,699.912510936133,True,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,133000.0,,0.02,0,20,-17.452324780355738,-0.872616239017787,1.0,1.0,21,1.0,45.75,32.71092033178224,235.51862638883216,,1.0,6,235.51862638883216,32.71092033178224,45.75,"{""B1_asphalt_fatigue"": 10.88142166612986, ""B3_ac_permanent_deformation"": 1.9773314562017663, ""B4_subgrade_strain"": 6.591542945306703}",False,0.0,0.0,16.73286509513855,ok
48_0001,Texas,Wet-NoFreeze,GPS-1,Stiff,699.912510936133,True,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,133000.0,,0.02,1,20,-17.452324780355738,-0.872616239017787,1.0,1.0,21,1.0,45.75,32.71092033178224,235.51862638883216,,1.0,6,235.51862638883216,32.71092033178224,45.75,"{""B1_asphalt_fatigue"": 10.88142166612986, ""B3_ac_permanent_deformation"": 1.9773314562017663, ""B4_subgrade_strain"": 6.591542945306703}",False,0.0,0.0,16.68216633796692,ok
48_0001,Texas,Wet-NoFreeze,GPS-1,Stiff,699.912510936133,True,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,133000.0,,0.02,2,20,-17.452324780355738,-0.872616239017787,1.0,1.0,21,1.0,45.75,32.71092033178224,235.51862638883216,,1.0,6,235.51862638883216,32.71092033178224,45.75,"{""B1_asphalt_fatigue"": 10.88142166612986, ""B3_ac_permanent_deformation"": 1.9773314562017663, ""B4_subgrade_strain"": 6.591542945306703}",False,0.0,0.0,16.406197786331177,ok
