case_id,category,pavement_type,mode,seed,E_subgrade,MAAT_C,annual_ESAL_BZZ100,total_ESAL_BZZ100,n_steps,mean_reward,min_reward,final_dsr,final_scr,scr_trajectory,B1,B3,B4,n_guard_violations,n_fea_escalations,n_surrogate_calls,surrogate_fraction,escalation_rate,wall_clock_sec,status
sg_very_soft,subgrade,semi_rigid,escalation_enabled,0,25.0,,,,20,0.5638,-1.5,1.0,1.0,1.0,51.852,2.399,3.62,1,0,18,0.947,0.0,54.9,ok
sg_very_soft,subgrade,semi_rigid,escalation_enabled,1,25.0,,,,20,0.5638,-1.5,1.0,1.0,1.0,51.852,2.399,3.62,1,0,18,0.947,0.0,48.9,ok
sg_very_soft,subgrade,semi_rigid,escalation_enabled,2,25.0,,,,20,0.5638,-1.5,1.0,1.0,1.0,51.852,2.399,3.62,1,0,18,0.947,0.0,47.8,ok
sg_very_stiff,subgrade,semi_rigid,escalation_enabled,0,600.0,,,,20,0.3672,-1.5,1.0,1.0,1.0,9.455,1.985,7.481,2,0,17,0.944,0.0,48.0,ok
sg_very_stiff,subgrade,semi_rigid,escalation_enabled,1,600.0,,,,20,0.3672,-1.5,1.0,1.0,1.0,9.455,1.985,7.481,2,0,17,0.944,0.0,55.1,ok
sg_very_stiff,subgrade,semi_rigid,escalation_enabled,2,600.0,,,,20,0.3672,-1.5,1.0,1.0,1.0,9.455,1.985,7.481,2,0,17,0.944,0.0,127.5,ok
sg_ltpp_48_0001,subgrade,flexible,escalation_enabled,0,700.0,,,,20,0.5728,-1.5,1.0,1.0,1.0,1.573,1.195,5.582,2,0,17,0.944,0.0,64.6,ok
sg_ltpp_48_0001,subgrade,flexible,escalation_enabled,1,700.0,,,,20,0.5728,-1.5,1.0,1.0,1.0,1.573,1.195,5.582,2,0,17,0.944,0.0,80.6,ok
sg_ltpp_48_0001,subgrade,flexible,escalation_enabled,2,700.0,,,,20,0.5728,-1.5,1.0,1.0,1.0,1.573,1.195,5.582,2,0,17,0.944,0.0,9879.7,ok
mat_soft_base,material,flexible,escalation_enabled,0,80.0,,,,20,-1.5,-1.5,1.0,1.0,1.0,1.443,1.693,2.368,20,0,0,0.0,0.0,32.6,ok
mat_soft_base,material,flexible,escalation_enabled,1,80.0,,,,20,-1.5,-1.5,1.0,1.0,1.0,1.443,1.693,2.368,20,0,0,0.0,0.0,32.1,ok
mat_soft_base,material,flexible,escalation_enabled,2,80.0,,,,20,-1.5,-1.5,1.0,1.0,1.0,1.443,1.693,2.368,20,0,0,0.0,0.0,32.5,ok
tr_super_heavy,traffic,semi_rigid,escalation_enabled,0,80.0,,10000000.0,,20,0.7333,0.7016,1.0,1.0,1.0,15.844,1.236,3.482,0,0,19,0.95,0.0,64.8,ok
tr_super_heavy,traffic,semi_rigid,escalation_enabled,1,80.0,,10000000.0,,20,0.7333,0.7016,1.0,1.0,1.0,15.844,1.236,3.482,0,0,19,0.95,0.0,58.3,ok
tr_super_heavy,traffic,semi_rigid,escalation_enabled,2,80.0,,10000000.0,,20,0.7333,0.7016,1.0,1.0,1.0,15.844,1.236,3.482,0,0,19,0.95,0.0,63.8,ok
tr_ultra_light,traffic,flexible,escalation_enabled,0,80.0,,100000.0,,20,-0.7815,-1.5,1.0,1.0,1.0,17.039,10.336,3.751,13,0,7,1.0,0.0,32.5,ok
tr_ultra_light,traffic,flexible,escalation_enabled,1,80.0,,100000.0,,20,-0.7815,-1.5,1.0,1.0,1.0,17.039,10.336,3.751,13,0,7,1.0,0.0,31.9,ok
tr_ultra_light,traffic,flexible,escalation_enabled,2,80.0,,100000.0,,20,-0.7815,-1.5,1.0,1.0,1.0,17.039,10.336,3.751,13,0,7,1.0,0.0,32.4,ok
cl_extreme_hot,climate,semi_rigid,escalation_enabled,0,80.0,28.0,,,20,-0.0588,-0.1262,1.0,0.75,0.0,18.308,0.587,4.032,0,19,0,0.0,0.95,629.4,ok
cl_extreme_hot,climate,semi_rigid,escalation_enabled,1,80.0,28.0,,,20,-0.0588,-0.1262,1.0,0.75,0.0,18.308,0.587,4.032,0,19,0,0.0,0.95,609.4,ok
cl_extreme_hot,climate,semi_rigid,escalation_enabled,2,80.0,28.0,,,20,-0.0588,-0.1262,1.0,0.75,0.0,18.308,0.587,4.032,0,19,0,0.0,0.95,626.4,ok
cl_extreme_cold,climate,semi_rigid,escalation_enabled,0,80.0,-5.0,,,20,0.1226,-1.5,1.0,1.0,1.0,130.976,19.496,5.388,4,0,15,0.938,0.0,53.8,ok
cl_extreme_cold,climate,semi_rigid,escalation_enabled,1,80.0,-5.0,,,20,0.1226,-1.5,1.0,1.0,1.0,130.976,19.496,5.388,4,0,15,0.938,0.0,64.4,ok
cl_extreme_cold,climate,semi_rigid,escalation_enabled,2,80.0,-5.0,,,20,0.1226,-1.5,1.0,1.0,1.0,130.976,19.496,5.388,4,0,15,0.938,0.0,56.7,ok
