case_id,category,pavement_type,mode,n,MAAT_C,annual_ESAL_BZZ100,total_ESAL_BZZ100,mean_reward,final_dsr,final_scr,scr_traj,B3_min,escalation_rate,guards_total
cl_extreme_cold,climate,semi_rigid,escalation_enabled,3,-5.0,,,0.225,1.0,1.0,1.0,19.498,0.0,9
cl_extreme_hot,climate,semi_rigid,escalation_enabled,3,28.0,,,-0.259,0.0,0.0,0.0,,0.95,0
mat_soft_base,material,flexible,escalation_enabled,3,,,,-1.5,0.0,0.0,0.0,,0.0,60
sg_ltpp_48_0001,subgrade,flexible,escalation_enabled,3,,,,0.808,1.0,1.0,1.0,1.182,0.0,0
sg_very_soft,subgrade,semi_rigid,escalation_enabled,3,,,,0.673,1.0,1.0,1.0,2.406,0.0,0
sg_very_stiff,subgrade,semi_rigid,escalation_enabled,3,,,,0.472,1.0,1.0,1.0,1.985,0.0,3
tr_super_heavy,traffic,semi_rigid,escalation_enabled,3,,10000000.0,,0.735,1.0,1.0,1.0,1.234,0.0,0
tr_ultra_light,traffic,flexible,escalation_enabled,3,,100000.0,,-0.677,1.0,1.0,1.0,10.139,0.0,36
