case_id,category,pavement_type,mode,seed,E_subgrade,n_steps,mean_reward,min_reward,final_dsr,final_scr,scr_trajectory,B1,B3,B4,n_guard_violations,n_fea_escalations,n_surrogate_calls,surrogate_fraction,escalation_rate,wall_clock_sec,status
sg_very_soft,subgrade,semi_rigid,escalation_enabled,0,25.0,20,0.6866,0.6305,1.0,1.0,1.0,49.312,1.603,3.593,0,0,19,0.95,0.0,81.7,ok
sg_very_soft,subgrade,semi_rigid,escalation_enabled,1,25.0,20,0.6866,0.6305,1.0,1.0,1.0,49.312,1.603,3.593,0,0,19,0.95,0.0,86.2,ok
sg_very_soft,subgrade,semi_rigid,escalation_enabled,2,25.0,20,0.6866,0.6305,1.0,1.0,1.0,49.312,1.603,3.593,0,0,19,0.95,0.0,119.2,ok
sg_very_stiff,subgrade,semi_rigid,escalation_enabled,0,600.0,20,0.4761,-1.5,1.0,1.0,1.0,8.77,1.326,7.396,1,0,18,0.947,0.0,83.6,ok
sg_very_stiff,subgrade,semi_rigid,escalation_enabled,1,600.0,20,0.4761,-1.5,1.0,1.0,1.0,8.77,1.326,7.396,1,0,18,0.947,0.0,88.8,ok
sg_very_stiff,subgrade,semi_rigid,escalation_enabled,2,600.0,20,0.4761,-1.5,1.0,1.0,1.0,8.77,1.326,7.396,1,0,18,0.947,0.0,96.8,ok
sg_ltpp_48_0001,subgrade,flexible,escalation_enabled,0,700.0,20,0.0026,-1.5,1.0,1.0,1.0,2.79,1.194,2.302,7,12,0,0.0,0.6,651.0,ok
sg_ltpp_48_0001,subgrade,flexible,escalation_enabled,1,700.0,20,0.0026,-1.5,1.0,1.0,1.0,2.79,1.194,2.302,7,12,0,0.0,0.6,689.3,ok
sg_ltpp_48_0001,subgrade,flexible,escalation_enabled,2,700.0,20,0.0026,-1.5,1.0,1.0,1.0,2.79,1.194,2.302,7,12,0,0.0,0.6,663.2,ok
mat_soft_base,material,flexible,escalation_enabled,0,80.0,20,-1.5,-1.5,1.0,1.0,1.0,1.349,1.108,2.325,20,0,0,0.0,0.0,48.1,ok
mat_soft_base,material,flexible,escalation_enabled,1,80.0,20,-1.5,-1.5,1.0,1.0,1.0,1.349,1.108,2.325,20,0,0,0.0,0.0,48.2,ok
mat_soft_base,material,flexible,escalation_enabled,2,80.0,20,-1.5,-1.5,1.0,1.0,1.0,1.349,1.108,2.325,20,0,0,0.0,0.0,47.9,ok
