gps_family,n,FC_mean,FC_max,RD_mean,RD_max,IRI_mean,IRI_max,compliance_rate,SCR_mepdg_mean,DSR_mepdg_mean
GPS-1,18,100.0,100.0,18.856,19.142,132.71,133.16,0.0,0.444,0.25
GPS-2,18,100.0,100.0,10.522,10.522,119.59,119.59,0.0,0.667,0.25
