pavement_type,n,FC_mean,FC_max,RD_mean,RD_max,IRI_mean,IRI_max,compliance_rate
flexible,18,0.025,0.028,11.467,13.581,81.085,84.41,1.0
semi_rigid,18,0.002,0.002,8.986,9.194,77.17,77.5,1.0
