pavement_type,n,FC_mean,FC_max,RD_mean,RD_max,IRI_mean,IRI_max,compliance_rate
flexible,18,0.032,0.052,13.386,19.082,84.11,93.09,0.833
semi_rigid,18,0.002,0.002,8.986,9.194,77.17,77.5,1.0
