section_id,pavement_type,seed,E_subgrade,eps_a_micro,eps_z_micro,sigma_t_MPa,p_AC_upper_mid,p_AC_mid_mid,p_AC_lower_mid,deflection_mm,h1_cm,h2_cm,h3_cm,h4_cm,h5_cm,E1_MPa,E2_MPa,E3_MPa,E4_MPa,E5_MPa,FEA_elapsed_s,status
30_7076,semi_rigid,2,58.87114577967474,20.91,45.27,0.0187,0.71,0.5356,0.131,,2.0,14.85,6.71,44.52,16.27,14044.0,10209.0,9108.0,1018.0,379.0,50.1,ok
48_0001,flexible,0,699.912510936133,43.63,79.84,0.0,0.7062,0.6327,0.3025,,2.0,7.5,10.12,30.0,28.66,14652.0,10203.0,9883.0,163.0,100.0,47.5,ok
48_0001,flexible,1,699.912510936133,43.63,79.84,0.0,0.7062,0.6327,0.3025,,2.0,7.5,10.12,30.0,28.66,14652.0,10203.0,9883.0,163.0,100.0,49.0,ok
48_0001,flexible,2,699.912510936133,43.63,79.84,0.0,0.7062,0.6327,0.3025,,2.0,7.5,10.12,30.0,28.66,14652.0,10203.0,9883.0,163.0,100.0,41.2,ok
48_1076,flexible,0,114.5311381531854,36.46,60.01,0.0017,0.7062,0.6271,0.2584,,2.0,9.35,11.24,29.67,29.73,14817.0,10056.0,10071.0,162.0,100.0,48.4,ok
48_1076,flexible,1,114.5311381531854,36.46,60.01,0.0017,0.7062,0.6271,0.2584,,2.0,9.35,11.24,29.67,29.73,14817.0,10056.0,10071.0,162.0,100.0,59.6,ok
48_1076,flexible,2,114.5311381531854,36.46,60.01,0.0017,0.7062,0.6271,0.2584,,2.0,9.35,11.24,29.67,29.73,14817.0,10056.0,10071.0,162.0,100.0,41.2,ok
48_1109,semi_rigid,0,99.98750156230471,20.8,37.1,0.0162,0.7101,0.5382,0.1347,,2.0,14.63,6.75,44.33,16.24,14040.0,10221.0,9111.0,1025.0,379.0,145.1,ok
48_1109,semi_rigid,1,99.98750156230471,20.8,37.1,0.0162,0.7101,0.5382,0.1347,,2.0,14.63,6.75,44.33,16.24,14040.0,10221.0,9111.0,1025.0,379.0,41.7,ok
48_1109,semi_rigid,2,99.98750156230471,20.8,37.1,0.0162,0.7101,0.5382,0.1347,,2.0,14.63,6.75,44.33,16.24,14040.0,10221.0,9111.0,1025.0,379.0,41.1,ok
