section_id,pavement_type,seed,E_subgrade,eps_a_micro,eps_z_micro,sigma_t_MPa,p_AC_upper_mid,p_AC_mid_mid,p_AC_lower_mid,deflection_mm,h1_cm,h2_cm,h3_cm,h4_cm,h5_cm,E1_MPa,E2_MPa,E3_MPa,E4_MPa,E5_MPa,FEA_elapsed_s,status
04_1034,flexible,0,91.29293620906081,36.56,58.86,0.0016,0.7061,0.6269,0.2559,,2.0,9.46,11.35,29.74,30.03,14858.0,10021.0,10115.0,152.0,100.0,48.2,ok
04_1034,flexible,1,91.29293620906081,36.56,58.86,0.0016,0.7061,0.6269,0.2559,,2.0,9.46,11.35,29.74,30.03,14858.0,10021.0,10115.0,152.0,100.0,41.8,ok
04_1034,flexible,2,91.29293620906081,36.56,58.86,0.0016,0.7061,0.6269,0.2559,,2.0,9.46,11.35,29.74,30.03,14858.0,10021.0,10115.0,152.0,100.0,41.5,ok
04_1065,semi_rigid,0,91.29293620906081,20.87,38.58,0.0168,0.7101,0.5387,0.1353,,2.0,14.58,6.76,44.27,16.26,14040.0,10227.0,9110.0,1029.0,380.0,49.8,ok
04_1065,semi_rigid,1,91.29293620906081,20.87,38.58,0.0168,0.7101,0.5387,0.1353,,2.0,14.58,6.76,44.27,16.26,14040.0,10227.0,9110.0,1029.0,380.0,37.5,ok
04_1065,semi_rigid,2,91.29293620906081,20.87,38.58,0.0168,0.7101,0.5387,0.1353,,2.0,14.58,6.76,44.27,16.26,14040.0,10227.0,9110.0,1029.0,380.0,42.0,ok
06_2004,semi_rigid,0,112.4859392575928,20.7,35.2,0.0155,0.7101,0.5376,0.1339,,2.0,14.69,6.74,44.39,16.21,14040.0,10215.0,9113.0,1021.0,379.0,48.1,ok
06_2004,semi_rigid,1,112.4859392575928,20.7,35.2,0.0155,0.7101,0.5376,0.1339,,2.0,14.69,6.74,44.39,16.21,14040.0,10215.0,9113.0,1021.0,379.0,37.1,ok
06_2004,semi_rigid,2,112.4859392575928,20.7,35.2,0.0155,0.7101,0.5376,0.1339,,2.0,14.69,6.74,44.39,16.21,14040.0,10215.0,9113.0,1021.0,379.0,54.6,ok
12_1060,flexible,0,286.3278453829635,37.12,66.31,0.0005,0.7063,0.629,0.2707,,2.0,8.85,10.93,29.61,29.23,14758.0,10090.0,10021.0,167.0,100.0,39.9,ok
